,번호,인증번호,농장명,농장소재지,인증품목,인증날짜,사육시설,사육규모(마리),자유방목
125,225,동물복지-13-01-1-4,목골농장,충청남도천안시,산란계,2019-09-06,"1동 1,086.8㎡",6000,X
126,224,동물복지-17-18-3-3,전영국농장,경상남도함양군,육계,2019-08-28,"2동 2,151.4㎡",38466,X
127,223,동물복지-10-12-1-3,구구청북농장,경기도평택시,산란계,2019-08-28,"4동 2,454㎡",17349,X
128,222,동물복지-14-04-3-8,황금농장,전라북도정읍시,육계,2019-08-19,"2동 2,340㎡",41196,X
129,221,동물복지-17-16-3-1,북천농원,경상남도하동군,육계,2019-08-19,"3동 4,860㎡",83916,X
130,220,동물복지-14-08-3-9,현진농장,전라북도진안군,육계,2019-08-19,"2동 3,699.5㎡",64410,X
131,219,동물복지-18-01-1-5,대풍농장,제주특별자치도제주시 조천읍,산란계,2019-08-13,"5동 2,274㎡",19400,X
132,218,동물복지-14-14-3-26,신원농장,전라북도부안군,육계,2019-08-05,"3동 4,177.8㎡",70090,X
133,217,동물복지-10-21-2-5,조암농장,경기도용인시,돼지,2019-07-22,"3동 1,502㎡",1184,X
134,216,동물복지-17-18-3-1,영각농원,경상남도함양군,육계,2019-07-22,"3동 3,134.6㎡",55544,X
135,215,동물복지-17-18-3-2,남덕유산가금류영농조합,경상남도함양군,육계,2019-07-22,"1동 1,258.6㎡",22494,X
136,214,동물복지-14-04-3-7,자연농장,전라북도정읍시,육계,2019-07-22,"3동 4,590㎡",80256,X
137,213,동물복지-13-09-1-2,산야유정란,충청남도부여군,산란계,2019-07-11,2동 600㎡,1700,O
138,212,동물복지-17-03-1-1,진주자연유정란,경상남도진주시,산란계,2019-07-19,1동 316㎡,900,O
139,211,동물복지-14-04-3-6,농업회사법인 미소농장(주),전라북도정읍시,육계,2019-06-24,"13동 13,867.2㎡",237391,X
140,210,동물복지-10-24-1-2,야마기시즘실현지영농조합법인,경기도화성시,산란계,2020-06-22,"17동 11,730㎡",44880,X
