,park,beauty,equip,food,hospital,manage,pharmacy,sell,dbscan_cluster
585,4,2,1,1,2,2,2,6,4
586,4,2,1,1,2,2,2,6,4
587,5,2,1,1,2,2,2,7,4
588,5,2,1,2,2,2,2,7,2
589,5,2,1,2,2,2,4,7,-1
590,5,2,2,3,3,2,4,7,-1
591,4,2,2,3,3,2,6,7,-1
592,4,2,2,4,3,2,6,7,-1
593,3,2,2,4,3,1,6,5,-1
594,3,2,2,3,3,1,6,3,-1
595,3,2,2,3,2,1,5,3,-1
596,3,2,2,3,2,1,5,3,-1
597,3,1,1,3,1,0,5,3,-1
598,4,1,1,3,1,0,5,1,6
599,4,1,3,3,1,0,5,1,6
600,4,1,3,3,1,0,5,1,6
601,4,1,3,3,1,0,5,1,6
602,4,1,3,3,1,0,5,1,6
603,4,1,3,3,1,0,5,1,6
604,4,4,3,3,3,0,5,4,-1
605,4,4,3,3,3,0,5,4,-1
606,4,4,3,3,3,0,5,4,-1
607,4,4,3,2,3,0,6,4,-1
608,4,5,3,2,3,0,6,5,-1
609,4,5,3,2,3,0,6,5,-1
610,4,6,2,2,3,1,6,7,-1
611,4,6,2,2,3,1,6,7,-1
612,3,6,2,2,3,1,6,7,5
613,3,6,2,2,3,2,6,7,5
614,3,6,2,2,3,2,6,7,5
615,3,6,2,2,3,2,7,7,5
616,2,0,1,0,0,0,0,2,4
617,2,1,1,0,0,1,0,4,-1
618,1,2,1,0,1,1,0,5,4
619,2,2,1,0,1,1,0,5,4
620,2,2,1,0,1,1,0,5,4
621,2,2,1,0,1,1,0,5,4
622,3,2,1,0,1,1,0,5,4
623,3,2,1,0,1,1,0,5,4
624,3,2,0,0,1,1,1,5,4
625,3,2,0,0,1,1,1,3,4
626,3,2,0,0,1,1,1,3,4
627,3,2,1,0,1,1,2,3,4
628,3,2,1,0,1,1,2,3,4
629,3,2,1,0,1,1,2,3,4
630,3,3,1,0,2,2,2,5,4
631,3,2,1,0,1,2,2,4,4
632,3,2,1,0,1,2,2,4,4
633,3,2,1,0,1,2,2,4,4
634,3,2,1,0,1,2,2,4,4
635,3,2,1,0,1,2,2,4,4
636,3,2,1,0,1,2,2,4,4
637,3,2,1,0,2,2,2,6,4
638,3,2,1,0,2,2,2,6,4
639,4,2,1,0,2,2,2,6,4
640,4,2,1,0,2,2,2,6,4
641,4,2,1,1,2,2,2,6,4
642,4,2,1,1,2,2,2,6,4
643,4,2,1,1,2,2,2,7,4
644,5,2,1,1,2,2,3,7,4
645,4,2,1,1,2,2,4,7,-1
646,4,2,1,2,3,2,6,7,-1
647,3,2,2,2,3,2,6,7,-1
648,3,2,2,3,2,2,6,5,-1
649,3,2,2,3,2,1,6,3,-1
650,3,2,2,3,2,1,5,3,-1
651,3,2,2,3,2,1,5,3,-1
652,3,1,2,3,1,0,5,1,6
653,3,1,1,3,1,0,5,1,6
654,3,1,1,3,1,0,5,1,6
655,3,1,3,3,1,0,5,1,6
656,4,1,3,3,1,0,5,1,6
657,4,1,3,3,1,0,5,1,6
658,4,1,3,3,1,0,5,1,6
659,4,2,3,3,2,0,5,2,6
660,4,4,3,3,3,0,5,3,-1
661,4,4,3,3,3,0,5,4,-1
662,4,4,3,2,3,0,5,4,-1
663,4,4,3,2,3,0,6,4,-1
664,4,5,2,2,3,0,6,5,-1
665,3,5,2,2,3,0,6,5,-1
666,3,6,2,2,3,1,6,7,5
667,3,6,2,2,3,1,6,7,5
